"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
a great script brought down by lousy direction.,a great script brought down by lousy lyrical.
australia : land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place.,1950s : land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place.
"narratively, trouble every day is a plodding mess.","narratively, trouble might day is a plodding mess."
"worthless, from its pseudo - rock - video opening to the idiocy of its last frames.","worthless, from its pseudo - rock - tale opening to the idiocy of its last laugh."
a marvel of production design.,a marvel of execution design was
"a wonderful, ghastly film.","a helpful, gemhastly film."
"mandel holland's direction is uninspired, and his scripting unsurprising, but the performances by phifer and black are ultimately winning.","56del holland's direction is uninspired, and his scripting unsurprising, but the performances by phipps and black are ultimately winning."
broomfield has a rather unique approach to documentary.,broomfield has a rather unique approach to creating.
it should have stayed there.,it should have stayed there.
perhaps the film should be seen as a conversation starter.,perhaps the film implies be seen as a wheel starter.
"there's little to recommend snow dogs, unless one considers cliched dialogue and perverse escapism a source of high hilarity.","there's scarce to recommend solutions dogs, unless one considers cliched dialogue and perverse escapism a source of high hilarity."
hardly a film that comes along every day.,really a ra that comes along every day.
it's an often - cute film but either needs more substance to fill the time or some judicious editing.,it's an often overlooked cute film but either needs more treasure to fill the time or some judicious editing.
a porn film without the sex scenes.,mega porn film without the sex scenes.
"brings together some of the biggest names in japanese anime, with impressive results.","value together some of the biggest names in japanese anime, with impressive results."
scott delivers a terrific performance in this fascinating portrait of a modern lothario.,scott gives a hilarious performance in this fascinating portrait of a modern lothario.
"if you want a movie time trip, the 1960 version is a far smoother ride.","if you expect a movie time trip, the 1960 version is a much rougher ride."
"it might be ` easier'to watch on video at home, but that shouldn't stop die - hard french film connoisseurs from going out and enjoying the big - screen experience.","it might be ` easier'to watch on video at home, but that should jo't stop die - hard french film connoisseurs from going out and enjoying the promise, screen experience."
a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship.,a backhanded ode to female camaraderie penned by a man who has little conversation about either the nature of women or of friendship.
"a tightly directed, highly professional film that's old - fashioned in all the best possible ways.","a tightly factual, highly professional film that's old – fashioned in all the best possible way."
"a laughable - - or rather, unlaughable - - excuse for a film.","a laughable - - or rather, unfreeghable - - excuse for a film that"
"still, it just sits there like a side dish no one ordered.","yes, it just sits there like a side dish no one required."
"it's no surprise that as a director washington demands and receives excellent performances, from himself and from newcomer derek luke.","it's no surprise that as a director washington returned and receives excellent performances, from himself and from newcomer derek luke."
one of the most slyly exquisite anti - adult movies ever made.,one of the most slyly refreshing anti - adventure movies ever made.
"neither quite a comedy nor a romance, more of an impish divertissement of themes that interest attal and gainsbourg - - they live together - - the film has a lot of charm.","apart quite a comedy nor a romance, more of an impish divertissement of themes that interest attal and gainsbourg - - they live together - - the film has a lot of soul."
almost everyone growing up believes their family must look like ` ` the addams family'' to everyone looking in... ` ` my big fat greek wedding'' comes from the heart...,almost everyone growing up believes their family must look like ` ` the addams family of'to everyone looking back... chorus ` my big fat greek wedding'' comes from the heart...
"streamlined to a tight, brisk 85 - minute screwball thriller, ` ` big trouble'' is funny, harmless and as substantial as a tub of popcorn with extra butter.","streamlined to a tight, brisk 85 - minute screwball curiosity, ` ` big trouble'reveal is true, harmless and as substantial as a tub of popcorn with extra butter."
"i've had more interesting - - and, dare i say, thematically complex - - bowel movements than this long - on - the - shelf, point - and - shoot exercise in gimmicky crime drama.","i've had more influence - - and, dare i say, thematically complex - - bowel movements than this long - on - the - shelf, point - and flat shoot exercise in gimmicky crime drama."
"ultimately, the film amounts to being lectured to by tech - geeks, if you're up for that sort of thing.","ultimately, the film amounts to being hesitant to by tech - geeks, if you're up for that sort of thing."
"unfunny and lacking any sense of commitment to or affection for its characters, the reginald hudlin comedy relies on toilet humor, ethnic slurs.","unfunny and lacking any sense of commitment to or affection for its characters, the reginald hudlin animation relies on toilet humor and ethnic slurs."
the only time 8 crazy nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers.,the only time 8 crazy nights comes close to halloween a comedic or mischievous target is during the offbeat musical sequence.
both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes.,both a propulsion made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her clean blue eyes.
delightfully rendered,delightfully rendered
"a small fortune in salaries and stunt cars might have been saved if the director, tom dey, had spliced together bits and pieces of midnight run and 48 hours - lrb - and, for that matter, shrek - rrb -.","a small fortune in salaries and stunt cars might have been saved if the director, tom dey, had spoughd older bits and pieces of midnight run and later hours - lv - and, for that matter, shrek - rrb -."
a french film with a more down - home flavor.,a strong film with a more down country home flavor.
baby - faced renner is eerily convincing as this bland blank of a man with unimaginable demons within.,"baby, faced renner is eerily convincing as this radical col of a man with unimaginable demons within."
what doesn't this film have that an impressionable kid couldn't stand to hear?,what does n's this reader have that anivatingable kid couldn't stand to hear?
"by that measure, it is a failure.","by that measure, it is a shitty."
an average kid - empowerment fantasy with slightly above - average brains.,an average kid - empowerment fantasy with slightly above perfect average brains.
"more concerned with overall feelings, broader ideas, and open - ended questions than concrete story and definitive answers, soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem.","more inspiration with overall feelings, broader ideas, and open - ended questions than concrete story and excellent answers, soderbergh's solaris is a gorgeous and deceptively minimalist stunning tone poem."
"a moving tale of love and destruction in unexpected places, unexamined lives.","a moving tale of love and prostitution in difficult places, unexamined lives."
"- lrb - toback's - rrb - fondness for fancy split - screen, stuttering editing and pompous references to wittgenstein and kirkegaard... blends uneasily with the titillating material.","the lrb - toback's - rrb - fondness for fancy split - screen, stuttering variation and pompous references to wittgenstein and kirkegan... humors uneasily with the titillating material."
a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell.,a period story about a catholic boy who tried to help a jewish friend get intonar by sending the audience straight to miserable.
real - life strongman ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders.,real - outside strongman ahola lacks the charisma and ability to carry the host on his admittedly broad shoulders.
"... the film's considered approach to its subject matter is too calm and thoughtful for agitprop, and the thinness of its characterizations makes it a failure as straight drama. '","... the film's considered approach to its subject matter is too dreadful and thoughtful for agitprop, and the thinness of its characterizations makes it a failure as straight drama. """
the culmination of everyone's efforts is given life when a selection appears in its final form - lrb - in ` ` last dance'' - rrb -.,the culmination of everyone's efforts is given life when a candidate appears in its final form - lrb - in ` ` last dance'q - rrb -.
an engaging criminal romp that will have viewers guessing just who's being conned right up to the finale.,an engaging criminal pipp that will have viewers guessing just who's being conned by up to the finale.
"it doesn't really know or care about the characters, and uses them as markers for a series of preordained events.","it doesn't outset know or care about the characters, and uses them as markers for a series of preordained questions."
starts off witty and sophisticated and you want to love it - - but filmmaker yvan attal quickly writes himself into a corner.,starts off hi and sophisticated and you want to love it - - but filmmaker yvan attal readily writes himself into a corner.
it finds no way to entertain or inspire its viewers.,it finds no way to seduce or inspire people subjects.
"george clooney, in his first directorial effort, presents this utterly ridiculous shaggy dog story as one of the most creative, energetic and original comedies to hit the screen in years.","george clooney, in his earliest directorial effort, presents this comparatively crude shaggy dog story as one of the most tall, sensible and original american to hit the screen in years."
the rollerball sequences feel sanitised and stagey.,the roller musical sequences feel sanitised and chucky.
"writer - director david jacobson and his star, jeremy renner, have made a remarkable film that explores the monster's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted.","writer and director david jacobson and his star, jeremy renner, have made a remarkable film that explores the scientist's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew brilliantly twisted."
nothing short of a masterpiece - - and a challenging one.,nothing short of a masterpiece had - and a challenging one.
"told in scattered fashion, the movie only intermittently lives up to the stories and faces and music of the men who are its subject.","zoo in dispersed fashion, the movie only intermittently lives up to the stories and faces and music of the men who are its subject."
adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary.,adaptation's success in engaging the audience in the travails of creating a cinema is flawless.
truly terrible.,as terrible.
"some writer dude, i think his name was, uh, michael zaidan, was supposed to have like written the screenplay or something, but, dude, the only thing that i ever saw that was written down were the zeroes on my paycheck.","some writer refuses, i think his name was, uh, michael zapion, was supposed to have drunk written the screenplay or something, and, worst, the only thing that i ever saw that was written about were the zeroes on my paycheck."
"with a cast of a - list brit actors, it is worth searching out.","with a cast of a - list brit actors, it is worth accolades out."
never inspires more than an interested detachment.,never inspires more than an activity detachment.
"two big things are missing - - anything approaching a visceral kick, and anything approaching even a vague reason to sit through it all.","two gaps things are missing - - anything approaching a visceral score, and anything approaching only a vague reason to sit through it all."
"one of the best films of the year with its exquisite acting, inventive screenplay, mesmerizing music, and many inimitable scenes of tenderness, loss, discontent, and yearning.","one of the best streets of the year with its exquisite acting, inventive screenplay and mesmerizing music, and many inimitable scenes. tenderness, loss, discontent, and longing."
"too much of storytelling moves away from solondz's social critique, casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries.","too much of storytelling moves away from solondz's social critique, casting its audience as that of intellectual lector in comparisontemplation of the auteur's professional expenses."
hawn and sarandon form an acting bond that makes the banger sisters a fascinating character study with laughs to spare.,havil and sarandon form an acting bond that makes the banger sisters a effortlessly character study with laughs to spare.
"the tasteful little revision works wonders, enhancing the cultural and economic subtext, bringing richer meaning to the story's morals.","the tasteful little quarry works wonder, enhancing the cultural and economic subtext, bringing richer meaning to the story's morals."
its director's most substantial feature for some time.,its director's most keen feature for some time.
"suspend your disbelief here and now, or you'll be shaking your head all the way to the credits.","insists your longing here and now, and you'll be shaking your head all the way to the protagonists."
irwin is so earnest that it's hard to resist his pleas to spare wildlife and respect their environs.,irwin is so solid that it's hard to resist his pleas to spare wildlife and respect their environs.
"a lightweight, uneven action comedy that freely mingles french, japanese and hollywood cultures.","[SEP] lightweight, uneven action comedy that officially mingles french, japanese and hollywood cultures."
"complex, sinuously plotted and, somehow, off - puttingly cold.","complex, sinuously plotted and, increasingly, off - puttingly backward."
one of those movies that make us pause and think of what we have given up to acquire the fast - paced contemporary society.,one of those rappers that make us pause and think about what we have given up to acquire the fastidi paced contemporary society.
"despite the opulent lushness of every scene, the characters never seem to match the power of their surroundings.","despite the opulent lushness of [ scene, the characters never seem to match the power of their surroundings."
"when one hears harry shearer is going to make his debut as a film director, one would hope for the best","when one hears harry shearer is going to make his debut as a film director, one might hope for the blues"
"helmer hudlin tries to make a hip comedy, but his dependence on slapstick defeats the possibility of creating a more darkly edged tome.","helmer hudlin tries to make a hip comedy, but his dependence on slapstick honours the possibility of creating a more barbed edged tome."
it's definitely a step in the right direction.,it's certainly a step in the right direction for
"human nature is a goofball movie, in the way that malkovich was, but it tries too hard.","human nature is a goofball delight, in the way that malkovich was, although it tries too hard."
"the plot of the comeback curlers isn't very interesting actually, but what i like about men with brooms and what is kind of special is how the film knows what's unique and quirky about canadians.","the plot of the comeback curlers isn't very interesting indeed, but what i like about men with brooms and what is kind of special is how the film'what's unique and quirky about canadians."
disturbing.,disturbing.
both deserve better.,both deserve better.
"works because we're never sure if ohlinger's on the level or merely a dying, delusional man trying to get into the history books before he croaks.","works because she're never sure if oh buddies's on the level or merely a dying, delusional man trying to get into the history books before he croaks."
"even as it pays earnest homage to turntablists and beat jugglers, old schoolers and current innovators, scratch is great fun, full of the kind of energy it's documenting.","even as it pays breakfast homage to turntablists and beat jugglers, old schoolers and current innovators, scratch is great fun, tolerant of the kind of energy it's documenting."
"the origin story is well told, and the characters will not disappoint anyone who values the original comic books.","the origin story was well told, and the characters will not disapp reassure anyone who values the original comic books."
"triumph of love is a very silly movie, but the silliness has a pedigree.","triumph of love is a very teen movie, but the silliness has a pedigree."
glizty but formulaic and silly... cagney's ` top of the world'has been replaced by the bottom of the barrel.,"glizty constantly formulaic and silly... cagney's level top of the world, has been replaced by the bottom of the barrel."
has lost some of the dramatic conviction that underlies the best of comedies...,has lost some of the dramatic conviction that underlies the best of?...
deepa mehta provides an accessible introduction as well as some intelligent observations on the success of bollywood in the western world.,deepa mehta provides an accessible introduction as well as some friend observations on the success of bollywood in the western world.
... little more than a well - acted television melodrama shot for the big screen.,during.. little more than a well - acted television melodrama shot for the big screen.
horrid little propaganda film with fascinating connections not only to the serbs themselves but also to a network of american right - wing extremists.,holged little propaganda film with fascinating introduction not only to the serbs themselves but also to a network of american right @ wing extremists.
an intelligently made - lrb - and beautifully edited - rrb - picture that at the very least has a spark of life to it - - more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch.,play intelligently made - l think - and beautifully edited - rrb - picture that at the very least has a spark of life to it - - more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch.
"the film would have been more enjoyable had the balance shifted in favor of water - bound action over the land - based ` drama,'but the emphasis on the latter leaves blue crush waterlogged.",the film would have been more enjoyable had the balance shifted in favor of water - bound action over the land - based creep drama.'but the emphasis on the latter leaves blue crush forlogged.
sometimes shorter is better.,sometimes shorter is done.
an extraordinary dramatic experience.,an extraordinary dramatic scene.
a reworking of die hard and cliffhanger but it's nowhere near as exciting as either.,a reworking of die hard and cliffhanger but it's nowhere near as challenging as either.
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold.,you'd think by accident america would have had enough of plucky british eccentrics with hearts of gold.
predecessors the mummy and the mummy returns stand as intellectual masterpieces next to the scorpion king.,far the mummy and the mummy returns stand as intellectual mazes next to the scorpion king.
the film will appeal to discovery channel fans and will surely widen the perspective of those of us who see the continent through rose - colored glasses.,the film will appeal to discovery channel communications and will surely upset the perspective of those of earth who see the continent through rose and colored glasses.
"it's not exactly worth the bucks to expend the full price for a date, but when it comes out on video, it's well worth a rental.","it's not exactly worth the bucks to ex hoursd the full price for a date, but when it comes out on video, it's well worth a prescription."
hollywood's answer to an air ball.,freud's answer to an air ball.
opera on film is never satisfactory.,in on film is never adequate.
both a detective story and a romance spiced with the intrigue of academic skullduggery and politics.,both a detective story and a unity spiced with the intrigue of academic skullduggers and politics.
"anyone who welcomes a dash of the avant - garde fused with their humor should take pleasure in this crazed, joyous romp of a film.","anyone who welcomes a dash of the avant @ garde fused with their humor should take pleasure in this gifted, <ous romp of a film."
two tedious acts light on great scares and a good surprise ending.,two tedious pete light on great scares and a good surprise ending.
it's pretentious in a way that verges on the amateurish.,it's preten disgusting in a way that verges on the ruinedish.
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role.,vincent gallo is fun at home in this particular sufferinger playing his usual bad boy weirdo role.
needs more impressionistic cinematography and exhilarating point - of - view shots and fewer slow - motion ` grandeur'shots and quick - cut edits that often detract from the athleticism.,needs more animatoristic cinematography and exhilarating point - - - view shots and lou slow - motion intellectual grandeur'shots and low - cut edits that often detract from the athleticism.
... a pretentious mess...,a.. a pretentious mess...
"the great pity is that those responsible didn't cut their losses - - and ours - - and retitle it the adventures of direct - to - video nash, and send it to its proper home.","the great pity is that those praised didcin't cut their losses - - and ours - - and retitle in the adventures of direct - to'video nash, and send it to its proper place."
exactly what you'd expect from a guy named kaos.,exactly what you'd expect from a guy named whyos.
"` all in all, reign of fire will be a good - lrb - successful - rrb - rental. '","( all in all, reign of fire will be a good - somerb - successful - rrb - rental. """
you'll just have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery.,you'll actually have your head in your hands wondering why lee'sxious did n'll just go to a bank manager and tell everyone the misery.
"miyazaki's nonstop images are so stunning, and his imagination so vivid, that the only possible complaint you could have about spirited away is that there is no rest period, no timeout.","miyazaki's nonstop images are so playful, and his imagination so vivid, that the only possible complaint you could have about spirited away is that there is no rest period, no timeout."
this version does justice both to stevenson and to the sci - fi genre.,this fiction does justice both to stevenson and to the sci - fi genre.
"the more you think about the movie, the more you will probably like it.","the more pro think about the movie, the more you willgingly like it."
terrific casting and solid execution give all three stories life.,terrific casting and cautiously suicide give all three stories life.
a pleasant piece of escapist entertainment.,a refreshing piece of escapist entertainment.
"if there's a heaven for bad movies, deuces wild is on its way.","if there's a heaven for bad movies, deuces the is on its way."
"if you're looking for something new and hoping for something entertaining, you're in luck.","if you're looking for something new and hoping for something stronger, you're in perfection."
"an amusing and unexpectedly insightful examination of sexual jealousy, resentment and the fine line between passion and pretence.","an amusing and globally insightful examination of sexual relations, compassion and the fine line between innocence and pretence."
the formula is familiar but enjoyable.,the formula is undoubtedly but enjoyable.
rife with nutty cliches and far too much dialogue.,rife with nutty influencesiches and far too much dialogue.
"due to stodgy, soap opera - ish dialogue, the rest of the cast comes across as stick figures reading lines from a teleprompter.","due to stod stench, soap opera acting is dreadful dialogue, the rest of the cast comes across as stick figures reading lines from a teleprompter."
"i enjoyed the movie in a superficial way, while never sure what its purpose was.","i enjoyed the movie in a kenneth way, while never sure what its purpose was."
it's all a rather shapeless good time...,"it's all a rather brainless good time. ""."
an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see.,an unorthodoxier film noir violent crime story that includes one of the strangest love stories you will ever see.
the christ allegory doesn't work because there is no foundation for it,the christ allegory doesn't ease because there is no foundation for it
jaglom offers the none - too - original premise that everyone involved with moviemaking is a con artist and a liar.,heglom offers the noneft too - original premise that everyone involved in moviemaking is a con artist and a dancer.
"the real charm of this trifle is the deadpan comic face of its star, jean reno, who resembles sly stallone in a hot sake half - sleep.","the real charm of this trifle is the deadpan comic pat of its star, jean reno, who resembles sly stallone in a hot sake half - sleep."
"despite its flaws, crazy as hell marks an encouraging new direction for la salle.","despite its slave, crazy as hell marks an imaginative new direction for la salle."
below is well below expectations.,below is well below standards.
go.,go ;
"a sly female empowerment movie, although not in a way anyone would expect.","a decisive female empowerment movie, although not in a way anyone would expect."
meticulously uncovers a trail of outrageous force and craven concealment.,meticulously uncovers a trail of sinister strength and craven concealment.
"a simpler, leaner treatment would have been preferable ; after all, being about nothing is sometimes funnier than being about something.","a simpler, leaner treatment would have been preferable ; after all, a about nothing is sometimes fun ugly than being about something."
... a good film that must have baffled the folks in the marketing department.,... a good film that must have inspiring the folks in the marketing department.
"but, like silence, it's a movie that gets under your skin.","but, like silence, it's a project that gets under its skin."
episode ii - - attack of the clones is a technological exercise that lacks juice and delight.,episode ii - - attack of the clones is a conventional exercise that lacks juice and skirt.
full of surprises.,full of surprises.
"with a large cast representing a broad cross - section, tavernier's film bounds along with the rat - a - tat energy of ` ` his girl friday,'' maintaining a light touch while tackling serious themes.","with a large cast representing a broad cross - section, tavernier's film bounds along with the rat system a - tat energy of susie ` his girl friday,'lay maintaining a light touch while tackling serious themes."
it's quite another to feel physically caught up in the process.,it's indeed another to feel physically caught up in the process.
a movie that feels like the pilot episode of a new teen - targeted action tv series.,a pivotal that feels like the pilot episode of a new teen - targeted action tv series.
"if i have to choose between gorgeous animation and a lame story - lrb - like, say, treasure planet - rrb - or so - so animation and an exciting, clever story with a batch of appealing characters, i'll take the latter every time.","if i have to choose between discovers animation and a barren story - lrb - like, say, treasure planet - rrb - or so - so. and an exciting, clever story with a batch of appealing characters, i'll take the latter every mania."
"an unholy mess, driven by the pathetic idea that if you shoot something on crummy - looking videotape, it must be labelled ` hip ', ` innovative'and ` realistic '.","an unfoldy mess, driven by the pathetic idea that if you shoot something on crummy - like videotape, it must be labelled ` hip ', ` disastrous'and'ridiculous '."
ninety minutes of viva castro!,twenty minutes of viva castro.
"a gracious, eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost.","a gracious, eloquent film that by its end offers a richly of hope to the refugees able to look ahead and resist living in a past forever lost."
will no doubt delight plympton's legion of fans ; others may find 80 minutes of these shenanigans exhausting.,will no doubt delight plympton's legion of fans ; others may find 80 minutes of these shenanigans exempting.
a close - to - solid espionage thriller with the misfortune of being released a few decades too late.,a close - to - solid espionage service with the misfortune of being released a few months too late.
"after a while, hoffman's quirks and mannerisms, particularly his penchant for tearing up on cue - - things that seem so real in small doses - - become annoying and artificial.","bun a while, hoffman's quirks and mannerisms, particularly his penchant for tearing up on cue - - things that seem so real in small doses - - become annoying and dimensional."
"this one is a few bits funnier than malle's dud, if only because the cast is so engagingly messing around like slob city reductions of damon runyon crooks.","this film is a few bits funnier than malle's dud, if only because the cast is so engagingly fitted around like slob city reductions of damon runyon crooks."
"a lot of fun, with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers.","a lot of fun, with an undeniable energy blend by two artists in their 50s working at the peak of their powers."
"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy, but it ultimately satisfies with its moving story.","the film occasionally tries the viewer's patience with ponder pacing and a main character who sometimes defies sympathy, but it ultimately satisfies with its moving narrative."
"i'm not sure which half of dragonfly is worse : the part where nothing's happening, or the part where something's happening, but it's stupid.","i'm not sure which half of dragonfly is shit : the part where nothing's happening, and the part where nothing's happening, and it's terrible."
"depending upon your reaction to this movie, you may never again be able to look at a red felt sharpie pen without disgust, a thrill, or the giggles.","depending upon your reaction to this case, you might never actually be able to look at a plot felt sharpie pen without misunderstanding, a thrill, or a unease."
you won't look at religious fanatics - - or backyard sheds - - the same way again.,you won't look at religious fanatics - - or backyard sheds - - the same way people.
"throwing in everything except someone pulling the pin from a grenade with his teeth, windtalkers seems to have ransacked every old world war ii movie for overly familiar material.","stepping in everything except someone pulling a pin from a grenade with his teeth, windtalkers seems to have ran tucked every old world war ii @ for overly lean material."
report card : doesn't live up to the exalted tagline - there's definite room for improvement.,report card edition doesn't live up to the exalted tagline - there's definite room for improvement.
watching ` ` ending'' is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale.,watching ` partner ending'' is too often like waiting over the unconventional clothes and plastic knickersnack at their neighbor's garage sale.
"the storytelling may be ordinary, but the cast is one of those all - star reunions that fans of gosford park have come to assume is just another day of brit cinema.","the storytelling may be ordinary, but the movie is one of those all - star materials that fans of gosford park have come to assume is just another day of afrikaans cinema."
"it's a familiar story, but one that is presented with great sympathy and intelligence.","it's anery story, but one that is presented with great sympathy and intelligence."
anyone who ever fantasized about space travel but can't afford the $ 20 million ticket to ride a russian rocket should catch this imax offering.,anyone who ever fantasized about space travel but can't afford the $ 20 million ticket to ride a russian rocket strongly catch this im nostalgia appealing.
"- lrb - green is - rrb - the comedy equivalent of saddam hussein, and i'm just about ready to go to the u. n. and ask permission for a preemptive strike.",", lrb - green is - rrb - the comedy equivalent of saddam hussein, and isn'm just about ready to go to the u. n. and ask permission for a preemptive strike."
"rarely, a movie is more than a movie.","rarely, a movie is more than a movie."
"there are cheesy backdrops, ridiculous action sequences, and many tired jokes about men in heels.","there are chellsy backdrops, pointless action sequences, and many awful commercials about men in makeup."
"nair's attention to detail creates an impeccable sense of place, while thurman and lewis give what can easily be considered career - best performances.","throughout's attention to detail creates an impeccable sense of place, while thurman and lewis give what can easily be considered career - best performances."
morton deserves an oscar nomination.,morton splendid an oscar nomination.
... will always be remembered for the 9 - 11 terrorist attacks.,.. [ will always be remembered for the 9 - 11 terrorist attacks.
a screenplay more ingeniously constructed than ` ` memento'',"a screenplay he ingeniously constructed than ` ` memento ""."
"it's a head - turner - - thoughtfully written, beautifully read and, finally, deeply humanizing.","it's a head - turner - - thoughtfully written, ravi read and, finally, deeply humanizing."
"as aimless as an old pickup skidding completely out of control on a long patch of black ice, the movie makes two hours feel like four.","asrmless as an old pickup skidding completely out of control on a long patch of black ice, the movie makes two hours feel like four."
ends up offering nothing more than the latest schwarzenegger or stallone flick would.,ends up offering nothing more than the latest schwarzenegger or bonnone idea would.
"the delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a scrooge or two.","the delicious trimmings... arrive early and stay active, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a stunning dose of humankind's liberating ability to triumph over a scrooge or two."
"a good film with a solid pedigree both in front of and, more specifically, behind the camera.","a moderate film with a solid pedigree both in front of and, more specifically, behind the camera."
"and there's the inimitable diaz, holding it all together.","and there's the inimitable diaz, brought it all together."
"each scene drags, underscoring the obvious, and sentiment is slathered on top.","each scene drags, underscoring the obvious, and sentiment is slossered on top."
"while guzman frustratingly refuses to give pinochet's crimes a political context, his distance from the material is mostly admirable.","while guzman conveniently refuses to give pinochet's face a political context, his distance from the material is mostly adlatable."
"somewhere in the middle, the film compels, as demme experiments he harvests a few movie moment gems, but the field of roughage dominates.","tests in the middle, the film compels, as demme experiments he harvests a few movie moment gems, but the significance of roughage dominates."
"a beyond - lame satire, teddy bears'picnic ranks among the most pitiful directing debuts by an esteemed writer - actor.","a beyond - sketches satire, teddy bears'picnic arises among the most pitiful directing debuts of an esteemed writer - actor."
... delivers few moments of inspiration amid the bland animation and simplistic story.,... delivers few moments of inspiration whatever the bland animation and simplistic story.
"the film delivers what it promises : a look at the ` ` wild ride'' that ensues when brash young men set out to conquer the online world with laptops, cell phones and sketchy business plans.","the film delivers what it promises : a look at the `'wild ride'' that ensues when brash young men set out to conquer the online world with laptops, cell phones and spiritsy business plans."
those unfamiliar with mormon traditions may find the singles ward occasionally bewildering.,those unfamiliar with mormon traditions may find the ken ward occasionally bewildering.
an unsuccessful attempt at a movie of ideas.,an unsuccessful attempt at a modelling of ideas.
"it's a smart, funny look at an arcane area of popular culture, and if it isn't entirely persuasive, it does give exposure to some talented performers.","it's a hancock, funny look at an arcane area of popular culture, and if it is fascinating't entirely persuasive, it does give exposure to some talented writers."
"last dance, whatever its flaws, fulfills one facet of its mission in making me want to find out whether, in this case, that's true.","last dance, whatever its significance, fulfills one facet of its debut "" making me want to find out whether, in this case, that's true."
"exactly what its title implies : lusty, boisterous and utterly charming.","suited what its title implies : lusty, boisterous and utterly healthy."
"i admire it and yet can not recommend it, because it overstays its natural running time.","i admire it and yet can not recommend it, because it overstays its perfect tendency time."
a brilliant gag at the expense of those who paid for it and those who pay to see it.,a brilliant gag at the expense of those who after for it and those who pay to see it.
it doesn't matter that the film is less than 90 minutes.,it doesn't worry that the film is less than 90 minutes.
"but even then, i'd recommend waiting for dvd and just skipping straight to her scenes.","but even then, in'd recommend waiting for dvd and just skipping straight to her scenes."
"a fantastically vital movie that manages to invest real humor, sensuality, and sympathy into a story about two adolescent boys.","a blocally powerful movie that manages to invest real humor, sensuality, and sympathy into a story about two adolescent boys."
"at its best, it's black hawk down with more heart.","at its best, it stands s black hawk down with more heart."
ultimately feels like just one more in the long line of films this year about the business of making movies.,ultimately feels like something one more in the long line of films this year about the business of making movies.
"it may be a no - brainer, but at least it's a funny no - brainer.","it may be a no - brainer, but at least it's a delightful no @ brainer."
doesn't add up to much.,does #'t add up to anything.
the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie.,the only thing scary about feardotcom is that the filmmakers and studio are unfitzen enough to attempt to pass this damner off as a scary movie.
"the movie's ultimate point - - that everyone should be themselves - - is trite, but the screenwriter and director michel gondry restate it to the point of ridiculousness.","the movie's ultimate point - - that everyone should be themselves - - is trite, and the screenwriter and director michel gondry rest consuming it to the point of ridiculousness."
an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line.,an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that'seems to care about the bottom line.
"there is a real subject here, and it is handled with intelligence and care.","there is a real dimitri here, and it is handled with intelligence and charm."
"demme gets a lot of flavor and spice into his charade remake, but he can't disguise that he's spiffing up leftovers that aren't so substantial or fresh.","demme gets a lot of flavor and bottled into his charade remake, but he'n't disguise that he's spiffing up leftovers that aren't so delighted or exciting."
10 minutes into the film you'll be white - knuckled and unable to look away.,10 minutes into the film you'll be okay - knuckled and unable to look away.
"the film's strength isn't in its details, but in the larger picture it paints - of a culture in conflict with itself, with the thin veneer of nationalism that covers our deepest, media - soaked fears.","the film's strength isn't in its details, but in the larger picture it paints - of a culture in one with itself, with the thin veneer of nationalism that covers our deepest, media - soaked fears."
matthew lillard is born to play shaggy!,matthew lillard is born to play excellence!
speaks eloquently about the symbiotic relationship between art and life.,speaks elo brilliantly and the symbiotic relationship between art and life.
